TANGGAL,BULAN,TAHUN,CURAH HUJAN,,,,,,,
1,JAN,2019,,,,,,,,
2,JAN,2019,"32,60",,,,,,,
3,JAN,2019,,,,,,,,
4,JAN,2019,,,,,,,,
5,JAN,2019,"28,50",,,,,,,
6,JAN,2019,,,,,,,,
7,JAN,2019,,,,,,,,
8,JAN,2019,,,,,,,,
9,JAN,2019,"8,20",,,,,,,
10,JAN,2019,,,,,,,,
11,JAN,2019,"47,30",,,,,,,
12,JAN,2019,"10,10",,,,,,,
13,JAN,2019,,,,,,,,
14,JAN,2019,,,,,,,,
15,JAN,2019,,,,,,,,
16,JAN,2019,"20,20",,,,,,,
17,JAN,2019,"20,50",,,,,,,
18,JAN,2019,,,,,,,,
19,JAN,2019,,,,,,,,
20,JAN,2019,"10,00",,,,,,,
21,JAN,2019,,,,,,,,
22,JAN,2019,"40,20",,,,,,,
23,JAN,2019,,,,,,,,
24,JAN,2019,"15,10",,,,,,,
25,JAN,2019,,,,,,,,
26,JAN,2019,"20,30",,,,,,,
27,JAN,2019,,,,,,,,
28,JAN,2019,"30,00",,,,,,,
29,JAN,2019,,,,,,,,
30,JAN,2019,"10,50",,,,,,,
31,JAN,2019,,,,,,,,
1,FEB,2019,,,,,,,,
2,FEB,2019,,,,,,,,
3,FEB,2019,"10,20",,,,,,,
4,FEB,2019,,,,,,,,
5,FEB,2019,"56,20",,,,,,,
6,FEB,2019,,,,,,,,
7,FEB,2019,"6,10",,,,,,,
8,FEB,2019,"110,50",,,,,,,
9,FEB,2019,,,,,,,,
10,FEB,2019,,,,,,,,
11,FEB,2019,,,,,,,,
12,FEB,2019,,,,,,,,
13,FEB,2019,,,,,,,,
14,FEB,2019,,,,,,,,
15,FEB,2019,,,,,,,,
16,FEB,2019,,,,,,,,
17,FEB,2019,,,,,,,,
18,FEB,2019,,,,,,,,
19,FEB,2019,,,,,,,,
20,FEB,2019,,,,,,,,
21,FEB,2019,,,,,,,,
22,FEB,2019,,,,,,,,
23,FEB,2019,,,,,,,,
