TANGGAL,BULAN,TAHUN,TINGGI MUKA AIR
1,JAN,2020,"5,22"
2,JAN,2020,"5,22"
3,JAN,2020,"5,88"
4,JAN,2020,"6,73"
5,JAN,2020,"8,05"
6,JAN,2020,"8,67"
7,JAN,2020,"8,51"
8,JAN,2020,"7,61"
9,JAN,2020,"7,07"
10,JAN,2020,"6,56"
11,JAN,2020,"6,03"
12,JAN,2020,"7,32"
13,JAN,2020,"8,79"
14,JAN,2020,"9,35"
15,JAN,2020,"8,96"
16,JAN,2020,"7,98"
17,JAN,2020,"7,28"
18,JAN,2020,"6,50"
19,JAN,2020,"5,96"
20,JAN,2020,"6,06"
21,JAN,2020,"5,86"
22,JAN,2020,"5,60"
23,JAN,2020,"5,03"
24,JAN,2020,"4,42"
25,JAN,2020,"3,96"
26,JAN,2020,"4,45"
27,JAN,2020,"5,05"
28,JAN,2020,"7,59"
29,JAN,2020,"8,29"
30,JAN,2020,"7,82"
31,JAN,2020,"8,69"
1,FEB,2020,"9,34"
2,FEB,2020,"9,51"
3,FEB,2020,"9,09"
4,FEB,2020,"8,51"
5,FEB,2020,"8,45"
6,FEB,2020,"8,73"
7,FEB,2020,"8,98"
8,FEB,2020,"9,71"
9,FEB,2020,"9,97"
10,FEB,2020,"9,89"
11,FEB,2020,"10,05"
12,FEB,2020,"10,33"
13,FEB,2020,"10,56"
14,FEB,2020,"10,50"
15,FEB,2020,"9,86"
16,FEB,2020,"9,14"
17,FEB,2020,"8,67"
18,FEB,2020,"9,44"
19,FEB,2020,"10,20"
20,FEB,2020,"10,54"
21,FEB,2020,"10,84"
22,FEB,2020,"11,09"
23,FEB,2020,"11,05"
24,FEB,2020,"10,60"
25,FEB,2020,"9,71"
26,FEB,2020,"8,98"
27,FEB,2020,"8,53"
28,FEB,2020,"9,00"
29,FEB,2020,"9,46"
30,FEB,2020,
31,FEB,2020,
1,MAR,2020,"9,15"
2,MAR,2020,"9,09"
3,MAR,2020,"9,17"
4,MAR,2020,"9,12"
5,MAR,2020,"9,48"
6,MAR,2020,"9,91"
7,MAR,2020,"10,15"
8,MAR,2020,"10,38"
9,MAR,2020,"10,47"
10,MAR,2020,"10,38"
11,MAR,2020,"10,25"
12,MAR,2020,"10,18"
13,MAR,2020,"9,90"
14,MAR,2020,"9,88"
15,MAR,2020,"9,34"
16,MAR,2020,"8,52"
17,MAR,2020,"7,77"
18,MAR,2020,"7,37"
19,MAR,2020,"7,11"
20,MAR,2020,"6,57"
21,MAR,2020,"6,93"
22,MAR,2020,"8,01"
23,MAR,2020,"8,11"
24,MAR,2020,"7,66"
25,MAR,2020,"8,89"
26,MAR,2020,"9,54"
27,MAR,2020,"9,18"
28,MAR,2020,"9,15"
29,MAR,2020,"9,89"
30,MAR,2020,"10,18"
31,MAR,2020,"10,35"
1,APR,2020,"10,45"
2,APR,2020,"10,32"
3,APR,2020,"9,96"
4,APR,2020,"9,30"
5,APR,2020,"9,44"
6,APR,2020,"9,46"
7,APR,2020,"9,43"
